Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
kendrapara,8.323627750875,1.597536193,7.660317975750001
ganjam,3.782362954,1.187000815,2.595362139
gajapati,0.776854184,0.1973271,0.579527084
mayurbhanj,1.289395367,0.185356663,1.104038704
sundargarh,2.122434122,0.304650931,1.817783191
kendujhar,1.491690841,0.370501647,1.121189194
baleshwar,8.323627750875,1.597536193,7.660317975750001
jharsuguda,2.936283719,1.597536193,0.163912049
bargarh,1.309118184,1.345216816,0.036098632
debagarh,2.166747854,1.597536193,0.025728406
sambalpur,1.95082885,1.296871576,0.653957274
puducherry,1.760373358,0.820562264,0.939811094
karaikal,1.148059852,1.327174677,0.179114825
mahe,1.6545,1.410606801,0.243893199
yanam,8.323627750875,1.597536193,2.98522873
gurdaspur,8.104089132,0.113656362,7.660317975750001
hoshiarpur,1.124097105,0.108432652,1.015664453
amritsar,2.592469047,0.034259992,2.558209055
jalandhar,5.423173348,0.0,5.423173348
tarn taran,5.771552223,0.165720765,5.605831458
rupnagar,8.323627750875,0.471251752,7.660317975750001
shahid bhagat singh nagar,8.323627750875,0.067246598,7.660317975750001
fazilka,4.742047502,0.0,4.742047502
moga,2.73145838,0.0,2.73145838
ludhiana,4.786805709,0.007473247,4.779332462
sahibzada ajit singh nag*,0.112972873,0.010724633,0.10224824
faridkot,4.441457773,0.0,4.441457773
fatehgarh sahib,0.476176498,0.0,0.476176498
sri muktsar sahib,2.388794655,0.000403704,2.388390951
sangrur,2.448919322,0.0,2.448919322
barnala,1.6671773,0.0,1.6671773
bathinda,4.083232034,0.018454025,4.064778009
patiala,4.903037722,0.000974475,4.902063247
mansa,2.763547618,0.004390434,2.759157184
firozpur,8.113945312,0.027828753,7.660317975750001
pathankot,2.474306677,1.207937139,1.266369538
kapurthala,3.634049856,0.260845183,3.373204673
churu,0.776519408,0.00062635,0.775893058
jhunjhunun,0.337331328,0.000184082,0.337147246
jaisalmer,0.490864938,0.007376732,0.483488206
sikar,0.420855874,0.0,0.420855874
alwar,0.348076896,0.005601607,0.342475289
jaipur,0.300794996,0.001876113,0.298918883
jodhpur,0.356570143,0.004713804,0.351856339
bharatpur,2.342300583,0.003684995,2.338615588
nagaur,0.318324761,0.004782392,0.313542369
dausa,0.503371084,0.004574126,0.498796958
karauli,0.633480722,0.197979321,0.435501401
dhaulpur,3.16604113,0.385474633,2.780566497
barmer,0.88895207,0.014956261,0.873995809
sawai madhopur,1.752297609,0.2640657,1.488231909
tonk,0.845948588,0.871896612,0.025948024
pali,0.420034216,0.028374093,0.391660123
bhilwara,0.795160097,0.045229947,0.74993015
jalor,1.350286581,0.005874951,1.34441163
bundi,2.12987866,0.138460405,1.991418255
kota,2.883610805,0.503964127,2.379646678
sirohi,0.276456745,0.023800256,0.252656489
baran,2.698445577,0.273336329,2.425109248
udaipur,0.289382661,0.290943084,0.001560423
jhalawar,1.321031828,0.380898218,0.94013361
dungarpur,0.586707161,0.388930127,0.197777034
banswara,0.908342871,0.925230196,0.016887325
ajmer,0.260510002,0.05695381,0.203556192
rajsamand,0.253865414,0.088450607,0.165414807
chittaurgarh,1.068551638,1.101782041,0.033230403
ganganagar,6.604699359,0.009686833,6.595012526
hanumangarh,3.719727987,0.012851681,3.706876306
bikaner,0.693208661,0.008307225,0.684901436
pratapgarh,0.34101676,0.239472067,0.101544693
north  district,0.608832673,0.545185157,0.063647516
west district,0.75096604,0.065150406,0.685815634
