District,Latitude,Longitude,elevation
Sabar Kantha,23.605115,72.96492,142
Sagar,23.837188,78.749867,530
Saharanpur,29.965049,77.553476,277
Saharsa,25.872235,86.59889,45
Sahibganj,25.244524,87.632966,44
Saiha,22.513447,92.979389,733
Salem,11.65821,78.152968,284
Samastipur,25.846512,85.779185,49
Sambalpur,21.466623,83.986047,159
Sangli,16.860757,74.57878,553
Sangrur,30.241479,75.841924,237
Sant Kabir Nagar,26.778133,83.086966,80
Sant Ravidas Nagar,25.335702,82.46387,88
Saraikela,22.715002,85.939556,183
Saran,25.777293,84.751385,56
Satara,17.690393,74.010744,689
Satna,24.566488,80.833433,318
Sawai Madhopur,25.987844,76.381194,318
Sehore,23.206208,77.085006,499
Senapati,25.302888,94.048471,1163
Seoni,22.088143,79.548337,617
Serchhip,23.3256,92.864991,798
Shahdol,23.294345,81.360684,464
Shahjahanpur,27.871092,79.908609,153
Shajapur,23.423091,76.280682,445
Sheikhpura,25.147495,85.839471,48
Sheohar,26.514445,85.29636,66
Sheopur,25.676035,76.698332,229
Shimla,31.10003,77.171181,2056
Shimoga,13.930893,75.576068,582
Shivpuri,25.42602,77.653283,468
Shrawasti,27.700545,81.931928,121
Sibsagar,26.984297,94.639508,95
Siddharthnagar,27.246253,83.066141,87
Sidhi,24.409558,81.883792,278
Sikar,27.610617,75.147048,433
Simdega,22.615172,84.502538,432
Sindhudurg,16.107985,73.714977,28
Sirmaur,30.525617,77.230732,438
Sirohi,24.89138,72.857774,317
Sirsa,29.531177,75.026343,203
Sitamarhi,26.59391,85.496766,68
Sitapur,27.563585,80.686343,139
Sivaganga,9.860311,78.481581,102
Siwan,26.22132,84.361494,67
Solan,30.910522,77.108405,1499
Solapur,17.672099,75.907906,471
Sonbhadra,24.687697,83.069029,315
Sonipat,28.979449,77.024728,222
Sonitpur,26.623221,92.791733,72
South,27.163151,88.359601,1274
South 24 Parganas,22.484754,88.265534,6
South Garo Hills,25.200104,90.645557,64
South Goa,15.304936,73.959411,31
South Tripura,23.53045,91.485363,26
Srikakulam,18.296866,83.891833,12
Srinagar,34.083627,74.810746,1587
Sultanpur,26.262349,82.073784,96
Sundargarh,22.128217,84.048498,236
Supaul,26.246247,86.644513,58
Surat,21.205128,72.847119,15
Surendranagar,22.732978,71.614645,75
Surguja,23.118939,83.207362,607
Tamenglong,24.996325,93.502375,1030
Tawang,27.587899,91.885444,2605
Tehri Garhwal,30.376102,78.498598,982
Thane,19.205931,72.971198,18
Thanjavur,10.785111,79.138403,55
The Dangs,20.756817,73.689483,436
The Nilgiris,11.415521,76.705867,2300
Theni,9.999588,77.464364,301
Thiruvallur,13.153773,79.915219,39
Thiruvananthapuram,8.490191,76.917805,10
Thiruvarur,10.780886,79.626455,13
Thoothukkudi,8.810166,78.148882,7
Thoubal,24.637889,94.006052,778
Thrissur,10.522671,76.21865,13
Tikamgarh,24.743252,78.831962,355
Tinsukia,27.49208,95.370027,124
Tirap,26.991189,95.50663,841
Tiruchirapalli,10.82225,78.681043,74
Tirunelveli,8.730059,77.692464,43
Tiruvannamalai,12.233386,79.07432,209
Tonk,26.171361,75.788097,280
Tuensang,26.229854,94.814512,1508
Tumkur,13.353655,77.096527,812
Udaipur,24.585424,73.686924,590
Udham Singh Nagar,28.966203,79.396914,211
Udhampur,32.91258,75.108491,680
Udupi,13.359567,74.759237,26
Ujjain,23.185696,75.779601,492
Ukhrul,25.091234,94.363891,1731
Umaria,23.525654,80.837774,456
Una,31.46426,76.268458,375
Unnao,26.545632,80.489814,128
Upper Siang,28.613345,95.066152,898
Upper Subansiri,28.029687,94.216858,720
Uttar Dinajpur,25.609131,88.125952,35
Uttara Kannada,14.804209,74.131214,47
Uttarkashi,30.715986,78.430542,1466
Vadodara,22.287726,73.206027,36
Vaishali,25.676599,85.219298,53
Valsad,20.631227,72.933378,8
Varanasi,25.325043,82.975165,80
Vellore,12.909641,79.139241,255
Vidisha,23.531456,77.812138,424
Viluppuram,11.936979,79.487333,47
Virudhunagar,9.594003,77.952743,101
Visakhapatnam,17.724253,83.305865,29
